ticker,period_end,filed,avail,rev,gp,oi,ni,sh,split_fac,sh_now,dps,dps_now,inv,equity,cash,debt
ICE,2016-09-30,2016-11-01,2016-11-01,1416000000,,474000000,3.44e+08,120000000,5,600000000.0,0.85,0.16999999999999998,,1.5512e+10,4.82e+08,6.305e+09
ICE,2016-12-31,2017-02-07,2017-02-07,1484000000,,558000000,3.52e+08,599000000,1,599000000.0,0.17,0.17,,1.5717e+10,4.3e+08,8.857e+09
ICE,2017-03-31,2017-05-03,2017-05-03,1469000000,,582000000,5.02e+08,599000000,1,599000000.0,0.2,0.2,,1.5755e+10,3.81e+08,6.248e+09
ICE,2017-06-30,2017-08-03,2017-08-03,1494000000,,609000000,4.18e+08,595000000,1,595000000.0,0.2,0.2,,1.5898e+10,4.15e+08,5.897e+09
ICE,2017-09-30,2017-11-02,2017-11-02,1432000000,,596000000,3.69e+08,592000000,1,592000000.0,0.2,0.2,,1.5992e+10,4.35e+08,6.062e+09
ICE,2017-12-31,2018-02-07,2018-02-07,1439000000,,592000000,1.225e+09,594000000,1,594000000.0,0.2,0.2,,1.6924e+10,1.584e+09,7.933e+09
ICE,2018-03-31,2018-05-03,2018-05-03,1580000000,,650000000,4.64e+08,586000000,1,586000000.0,0.24,0.24,,1.6978e+10,5.23e+08,6.892e+09
ICE,2018-06-30,2018-08-02,2018-08-02,1556000000,,655000000,4.55e+08,581000000,1,581000000.0,0.24,0.24,,1.6805e+10,5.32e+08,9.561e+09
ICE,2018-09-30,2018-10-31,2018-10-31,1463000000,,602000000,4.58e+08,576000000,1,576000000.0,0.24,0.24,,1.6832e+10,5.15e+08,8.884e+09
ICE,2018-12-31,2019-02-07,2019-02-07,1677000000,,676000000,6.11e+08,579000000,1,579000000.0,0.24,0.24,,1.7201e+10,1.872e+09,8.392e+09
ICE,2019-03-31,2019-05-02,2019-05-02,1583000000,,665000000,4.84e+08,570000000,1,570000000.0,0.275,0.275,,1.7106e+10,6.53e+08,8.502e+09
ICE,2019-06-30,2019-08-01,2019-08-01,1634000000,,680000000,4.72e+08,566000000,1,566000000.0,0.275,0.275,,1.7115e+10,8.37e+08,9.1e+09
ICE,2019-09-30,2019-10-31,2019-10-31,1663000000,1336000000.0,706000000,5.29e+08,563000000,1,563000000.0,0.275,0.275,,1.7161e+10,6.55e+08,9.154e+09
