ticker,gics,status,quarters,first,last,px_last,splits,note,share_scale_fixed
T,Communication Services,ok,68.0,2008-06-30,2025-06-30,2025-09-30,,,4.0
ATO,Utilities,ok,32.0,2017-06-30,2025-06-30,2025-09-30,,,0.0
ADSK,Information Technology,ok,70.0,2008-04-30,2025-07-31,2025-09-30,,,0.0
ADP,Industrials,ok,43.0,2014-12-31,2025-06-30,2025-09-30,,分拆 2014-10-01×1.139,0.0
AZO,Consumer Discretionary,ok,67.0,2008-11-22,2025-05-10,2025-09-30,,,0.0
AVB,Real Estate,ok,68.0,2008-06-30,2025-06-30,2025-09-30,,,0.0
AVY,Materials,ok,64.0,2009-07-04,2025-06-28,2025-09-30,,,0.0
AXON,Industrials,ok,60.0,2010-06-30,2025-06-30,2025-09-30,,,0.0
BKR,Energy,ok,38.0,2016-03-31,2025-06-30,2025-09-30,,,0.0
BALL,Materials,ok,66.0,2009-06-28,2025-06-30,2025-09-30,2010-03-28:2;2017-06-30:2,,1.0
BAC,Financials,ok,68.0,2008-06-30,2025-06-30,2025-09-30,,,0.0
BAX,Health Care,ok,40.0,2015-09-30,2025-06-30,2025-09-30,,分拆 2015-07-01×1.841,0.0
BDX,Health Care,ok,13.0,2022-06-30,2025-06-30,2025-09-30,,分拆 2022-04-01×1.025,0.0
BRK.B,Financials,missing,,,,,,,
BBY,Consumer Discretionary,ok,71.0,2008-08-30,2025-08-02,2025-09-30,,,0.0
TECH,Health Care,ok,64.0,2009-09-30,2025-06-30,2025-09-30,2022-12-31:4,,0.0
BIIB,Health Care,ok,68.0,2008-06-30,2025-06-30,2025-09-30,,,0.0
BLK,Financials,no revenue,,,,,,,
BX,Financials,ok,64.0,2009-06-30,2025-06-30,2025-09-30,,,0.0
XYZ,Financials,ok,42.0,2015-03-31,2025-06-30,2025-09-30,2016-03-31:2,,0.0
BK,Financials,ok,30.0,2009-06-30,2018-06-30,2025-09-30,,,0.0
BA,Industrials,ok,68.0,2008-06-30,2025-06-30,2025-09-30,,,0.0
BKNG,Consumer Discretionary,ok,66.0,2009-03-31,2025-06-30,2025-09-30,,,0.0
BSX,Health Care,ok,68.0,2008-06-30,2025-06-30,2025-09-30,,,0.0
BMY,Health Care,ok,68.0,2008-06-30,2025-06-30,2025-09-30,,,0.0
AVGO,Information Technology,ok,34.0,2017-01-29,2025-05-04,2025-09-30,2024-08-04:10,,0.0
BR,Industrials,ok,64.0,2009-09-30,2025-06-30,2025-09-30,,,0.0
BRO,Financials,ok,64.0,2009-06-30,2025-06-30,2025-09-30,2018-03-31:2,,1.0
BF.B,Consumer Staples,missing,,,,,,,
BLDR,Industrials,ok,60.0,2010-06-30,2025-06-30,2025-09-30,,,0.0
BG,Consumer Staples,ok,14.0,2022-03-31,2025-06-30,2025-09-30,,,0.0
BXP,Real Estate,ok,68.0,2008-06-30,2025-06-30,2025-09-30,,,1.0
CHRW,Industrials,ok,68.0,2008-06-30,2025-06-30,2025-09-30,,,0.0
CDNS,Information Technology,ok,64.0,2009-07-04,2025-06-30,2025-09-30,,,0.0
CZR,Consumer Discretionary,ok,50.0,2013-03-31,2025-06-30,2025-09-30,,,0.0
CPT,Real Estate,ok,34.0,2017-03-31,2025-06-30,2025-09-30,,,0.0
CPB,Consumer Staples,ok,67.0,2008-11-02,2025-04-27,2025-09-30,,,0.0
