ticker,name,mc,px,industry
CTNM,Contineum Therapeutics Inc. Class A Common Stock,4.7064e+08,12.51,Health Care
IMSR,Terrestrial Energy Inc. Common Stock  ,4.69293e+08,4.43,Industrials
FISN,Deep Fission Inc. Common Stock,4.59466e+08,7.8,Utilities
ETB,Eaton Vance Tax-Managed Buy-Write Income Fund Eaton Vance Tax-Managed Buy-Write Income Fund Common Shares of Beneficial Interest,4.55257e+08,15.5,Finance
VCV,Invesco California Value Municipal Income Trust Common Stock,4.47776e+08,9.35,Finance
GUT,Gabelli Utility Trust (The) Common Stock,4.41128e+08,6.01,Finance
EIKN,Eikon Therapeutics Inc. Common Stock,4.40362e+08,8.13,Health Care
FRBA,First Bank Common Stock,4.40103e+08,17.51,Finance
GLOO,Gloo Holdings Inc. Class A Common Stock,4.39349e+08,4.8,Technology
KYTX,Kyverna Therapeutics Inc. Common Stock,4.37233e+08,7.07,Health Care
GLAD,Gladstone Capital Corporation Common Stock,4.34239e+08,19.22,Consumer Discretionary
CBK,Commercial Bancgroup Inc. Common Stock,4.31179e+08,31.47,Finance
AVIR,Atea Pharmaceuticals Inc. Common Stock,4.23481e+08,5.28,Health Care
BLW,Blackrock Limited Duration Income Trust,4.17107e+08,11.68,Consumer Discretionary
GALT,Galectin Therapeutics Inc. Common Stock,4.08441e+08,4.05,Health Care
DMAC,DiaMedica Therapeutics Inc. Common Stock,4.07678e+08,7.56,Health Care
RLMD,Relmada Therapeutics Inc. Common Stock,4.03212e+08,3.78,Health Care
TTRX,Turn Therapeutics Inc. Common Stock,4.02436e+08,13.51,Health Care
LRMR,Larimar Therapeutics Inc. Common Stock,4.01508e+08,3.865,Health Care
HCMA,HCM III Acquisition Corp. Class A Ordinary Share,3.99769e+08,10.3,Consumer Discretionary
VOGX,Vogenx Inc Common Stock,3.99008e+08,26.86,Health Care
EVN,Eaton Vance Municipal Income Trust Common Stock,3.92705e+08,9.9,Finance
CYPH,Cypherpunk Technologies Inc. Common Stock,3.89029e+08,3.61,Health Care
