h,方法,n,中位絕對誤差,相對隨機漫步,OOS_R2,方向命中,期間,樣本,比較,典型誤差
24,E_all_b,4215.000000,0.287323,-0.209978,0.341924,0.702254,選模期,科技股名單,額外特徵,
36,rw,4241.000000,0.353154,0.000000,0.000000,,選模期,科技股名單,額外特徵,
36,E_all,4241.000000,0.302412,-0.143682,0.339710,0.662815,選模期,科技股名單,額外特徵,
36,E_all_b,4241.000000,0.299239,-0.152667,0.336387,0.657156,選模期,科技股名單,額外特徵,
6,rw,24326.000000,0.172345,0.000000,0.000000,,選模期,非科技股,額外特徵,
6,E_all,24326.000000,0.161257,-0.064337,0.150884,0.641330,選模期,非科技股,額外特徵,
6,E_all_b,24326.000000,0.161724,-0.061629,0.151186,0.639809,選模期,非科技股,額外特徵,
12,rw,23826.000000,0.270707,0.000000,0.000000,,選模期,非科技股,額外特徵,
12,E_all,23826.000000,0.229260,-0.153109,0.260691,0.663435,選模期,非科技股,額外特徵,
12,E_all_b,23826.000000,0.229770,-0.151223,0.262160,0.665072,選模期,非科技股,額外特徵,
24,rw,23584.000000,0.307804,0.000000,0.000000,,選模期,非科技股,額外特徵,
24,E_all,23584.000000,0.264798,-0.139721,0.236505,0.657480,選模期,非科技股,額外特徵,
24,E_all_b,23584.000000,0.264289,-0.141375,0.238437,0.658624,選模期,非科技股,額外特徵,
36,rw,23586.000000,0.314438,0.000000,0.000000,,選模期,非科技股,額外特徵,
36,E_all,23586.000000,0.279995,-0.109536,0.253060,0.633851,選模期,非科技股,額外特徵,
36,E_all_b,23586.000000,0.280233,-0.108779,0.252033,0.635886,選模期,非科技股,額外特徵,
6,rw,16330.000000,0.174201,0.000000,0.000000,,保留期,全部,額外特徵,
6,E_all,16330.000000,0.164627,-0.054958,0.188090,0.638028,保留期,全部,額外特徵,
6,E_all_b,16330.000000,0.164901,-0.053389,0.188201,0.637355,保留期,全部,額外特徵,
12,rw,13526.000000,0.252292,0.000000,0.000000,,保留期,全部,額外特徵,
12,E_all,13526.000000,0.213228,-0.154839,0.286563,0.680837,保留期,全部,額外特徵,
12,E_all_b,13526.000000,0.214278,-0.150675,0.284016,0.679432,保留期,全部,額外特徵,
24,rw,8451.000000,0.300426,0.000000,0.000000,,保留期,全部,額外特徵,
24,E_all,8451.000000,0.247347,-0.176679,0.375152,0.714117,保留期,全部,額外特徵,
24,E_all_b,8451.000000,0.246733,-0.178721,0.373406,0.716602,保留期,全部,額外特徵,
36,rw,3619.000000,0.332954,0.000000,0.000000,,保留期,全部,額外特徵,
36,E_all,3619.000000,0.252217,-0.242487,0.405002,0.726996,保留期,全部,額外特徵,
36,E_all_b,3619.000000,0.253997,-0.237142,0.409796,0.724786,保留期,全部,額外特徵,
6,rw,2325.000000,0.204152,0.000000,0.000000,,保留期,科技股名單,額外特徵,
6,E_all,2325.000000,0.198223,-0.029039,0.257255,0.636129,保留期,科技股名單,額外特徵,
6,E_all_b,2325.000000,0.197354,-0.033297,0.258739,0.635269,保留期,科技股名單,額外特徵,
12,rw,1911.000000,0.295507,0.000000,0.000000,,保留期,科技股名單,額外特徵,
12,E_all,1911.000000,0.252085,-0.146940,0.327128,0.687598,保留期,科技股名單,額外特徵,
12,E_all_b,1911.000000,0.251352,-0.149420,0.327114,0.683412,保留期,科技股名單,額外特徵,
24,rw,1214.000000,0.342568,0.000000,0.000000,,保留期,科技股名單,額外特徵,
24,E_all,1214.000000,0.305402,-0.108492,0.412412,0.691928,保留期,科技股名單,額外特徵,
24,E_all_b,1214.000000,0.305270,-0.108877,0.412712,0.691928,保留期,科技股名單,額外特徵,
36,rw,528.000000,0.416661,0.000000,0.000000,,保留期,科技股名單,額外特徵,
36,E_all,528.000000,0.281786,-0.323705,0.493088,0.774621,保留期,科技股名單,額外特徵,
36,E_all_b,528.000000,0.293816,-0.294832,0.484118,0.776515,保留期,科技股名單,額外特徵,
6,rw,14005.000000,0.169736,0.000000,0.000000,,保留期,非科技股,額外特徵,
6,E_all,14005.000000,0.159941,-0.057708,0.176280,0.638343,保留期,非科技股,額外特徵,
6,E_all_b,14005.000000,0.160023,-0.057222,0.176157,0.637701,保留期,非科技股,額外特徵,
12,rw,11615.000000,0.245484,0.000000,0.000000,,保留期,非科技股,額外特徵,
12,E_all,11615.000000,0.206605,-0.158378,0.279544,0.679724,保留期,非科技股,額外特徵,
12,E_all_b,11615.000000,0.207931,-0.152976,0.276558,0.678777,保留期,非科技股,額外特徵,
24,rw,7237.000000,0.293425,0.000000,0.000000,,保留期,非科技股,額外特徵,
24,E_all,7237.000000,0.239959,-0.182214,0.368347,0.717839,保留期,非科技股,額外特徵,
24,E_all_b,7237.000000,0.239769,-0.182861,0.366227,0.720741,保留期,非科技股,額外特徵,
36,rw,3091.000000,0.319272,0.000000,0.000000,,保留期,非科技股,額外特徵,
36,E_all,3091.000000,0.248306,-0.222274,0.389923,0.718861,保留期,非科技股,額外特徵,
36,E_all_b,3091.000000,0.249533,-0.218433,0.397074,0.715950,保留期,非科技股,額外特徵,
6,rw,28625.000000,0.176593,0.000000,0.000000,,選模期,全部,報酬假設,
6,R_資金成本,28625.000000,0.164392,-0.069087,0.168885,0.642585,選模期,全部,報酬假設,
6,R_CAPM beta,28625.000000,0.165366,-0.063572,0.168357,0.638114,選模期,全部,報酬假設,
6,R_零,28625.000000,0.167490,-0.051544,0.164084,0.624664,選模期,全部,報酬假設,
6,R_同產業過去10年,28625.000000,0.164503,-0.068461,0.168679,0.640664,選模期,全部,報酬假設,
6,R_全體過去10年,28625.000000,0.164314,-0.069529,0.169227,0.640769,選模期,全部,報酬假設,
12,rw,28062.000000,0.280670,0.000000,0.000000,,選模期,全部,報酬假設,
12,R_資金成本,28062.000000,0.235191,-0.162035,0.268289,0.662818,選模期,全部,報酬假設,
12,R_CAPM beta,28062.000000,0.236296,-0.158100,0.267024,0.658684,選模期,全部,報酬假設,
12,R_零,28062.000000,0.242387,-0.136398,0.258446,0.645428,選模期,全部,報酬假設,
12,R_同產業過去10年,28062.000000,0.238206,-0.151296,0.266953,0.662925,選模期,全部,報酬假設,
12,R_全體過去10年,28062.000000,0.238425,-0.150514,0.267881,0.664422,選模期,全部,報酬假設,
24,rw,27801.000000,0.314530,0.000000,0.000000,,選模期,全部,報酬假設,
24,R_資金成本,27801.000000,0.269132,-0.144338,0.254026,0.664077,選模期,全部,報酬假設,
24,R_CAPM beta,27801.000000,0.275186,-0.125090,0.245775,0.649761,選模期,全部,報酬假設,
24,R_零,27801.000000,0.294986,-0.062139,0.210659,0.628467,選模期,全部,報酬假設,
24,R_同產業過去10年,27801.000000,0.274589,-0.126987,0.253018,0.664041,選模期,全部,報酬假設,
24,R_全體過去10年,27801.000000,0.273438,-0.130647,0.254039,0.664652,選模期,全部,報酬假設,
36,rw,27833.000000,0.320728,0.000000,0.000000,,選模期,全部,報酬假設,
36,R_資金成本,27833.000000,0.283754,-0.115281,0.267354,0.638343,選模期,全部,報酬假設,
36,R_CAPM beta,27833.000000,0.290416,-0.094511,0.251283,0.622427,選模期,全部,報酬假設,
36,R_零,27833.000000,0.322282,0.004846,0.182199,0.597995,選模期,全部,報酬假設,
36,R_同產業過去10年,27833.000000,0.298419,-0.069557,0.251824,0.641612,選模期,全部,報酬假設,
36,R_全體過去10年,27833.000000,0.298262,-0.070048,0.258303,0.639744,選模期,全部,報酬假設,
6,rw,4295.000000,0.200901,0.000000,0.000000,,選模期,科技股名單,報酬假設,
6,R_資金成本,4295.000000,0.182810,-0.090047,0.270763,0.650058,選模期,科技股名單,報酬假設,
6,R_CAPM beta,4295.000000,0.181685,-0.095648,0.271593,0.652852,選模期,科技股名單,報酬假設,
6,R_零,4295.000000,0.186844,-0.069970,0.263667,0.639348,選模期,科技股名單,報酬假設,
6,R_同產業過去10年,4295.000000,0.183136,-0.088427,0.270483,0.650058,選模期,科技股名單,報酬假設,
6,R_全體過去10年,4295.000000,0.180950,-0.099306,0.273259,0.654482,選模期,科技股名單,報酬假設,
12,rw,4227.000000,0.327323,0.000000,0.000000,,選模期,科技股名單,報酬假設,
12,R_資金成本,4227.000000,0.276673,-0.154740,0.312749,0.660043,選模期,科技股名單,報酬假設,
12,R_CAPM beta,4227.000000,0.274575,-0.161151,0.315645,0.660752,選模期,科技股名單,報酬假設,
12,R_零,4227.000000,0.280631,-0.142651,0.301030,0.645138,選模期,科技股名單,報酬假設,
12,R_同產業過去10年,4227.000000,0.274945,-0.160020,0.306964,0.659569,選模期,科技股名單,報酬假設,
12,R_全體過去10年,4227.000000,0.274903,-0.160148,0.314887,0.667376,選模期,科技股名單,報酬假設,
24,rw,4215.000000,0.363690,0.000000,0.000000,,選模期,科技股名單,報酬假設,
24,R_資金成本,4215.000000,0.291895,-0.197408,0.339934,0.701068,選模期,科技股名單,報酬假設,
24,R_CAPM beta,4215.000000,0.292505,-0.195730,0.337167,0.688019,選模期,科技股名單,報酬假設,
24,R_零,4215.000000,0.317741,-0.126342,0.290882,0.655042,選模期,科技股名單,報酬假設,
24,R_同產業過去10年,4215.000000,0.304326,-0.163229,0.336456,0.685647,選模期,科技股名單,報酬假設,
24,R_全體過去10年,4215.000000,0.292923,-0.194581,0.353821,0.706999,選模期,科技股名單,報酬假設,
36,rw,4241.000000,0.353154,0.000000,0.000000,,選模期,科技股名單,報酬假設,
